Story ID,Story Name,Description,Priority,Iteration (Sprint) number,Acceptance Criteria,Estimation,Notes,Date started (or planned),Date finished (or planned)
US001,User Registration,"As a new user, I want to register an account, so that I can access the system",High,1,"1. User can enter name, email, password
2. Email format validated
3. Password strength checked
4. Account created successfully",3,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US002,User Login,"As a registered user, I want to log in, so that I can access my personalized dashboard",High,1,"1. User can enter email and password
2. Invalid credentials show error message
3. Session created on successful login",2,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US003,Role Selection,"As a user, I want to select my role (TA or MO), so that I can access appropriate features",High,1,"1. User can select TA or MO role
2. Role stored in user profile
3. UI adapts to selected role",1,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US004,TA Profile Creation,"As a TA applicant, I want to create my profile, so that MO can review my information",High,1,"1. TA can enter personal details (name, student ID, major, year)
2. TA can add contact information
3. Profile saved to system",5,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US005,Resume Upload,"As a TA applicant, I want to upload my resume/CV, so that MO can review my qualifications",High,1,"1. TA can upload PDF/DOC resume
2. File size limit enforced (max 5MB)
3. Resume stored and linked to profile",3,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US006,Skills Declaration,"As a TA applicant, I want to declare my skills, so that the system can match me with suitable jobs",Medium,1,"1. TA can select skills from predefined list
2. TA can add custom skills
3. Skills saved to profile",2,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US007,Job Posting Creation,"As an MO, I want to create and publish a job posting, so that TAs can view and apply",High,2,"1. MO can enter job title and description
2. MO can specify required skills
3. MO can set deadline
4. Job posted and visible to TAs",5,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US008,Job Listing Display,"As a TA, I want to view available job postings, so that I can find suitable positions",High,2,"1. All active jobs displayed
2. Jobs sorted by deadline
3. Job details visible on click",3,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US009,Job Search/Filter,"As a TA, I want to search and filter jobs, so that I can find positions matching my skills",Medium,2,"1. TA can search by keyword
2. TA can filter by required skills
3. Filter results update in real-time",3,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US010,Job Application,"As a TA, I want to apply for a job, so that I can be considered for the position",High,2,"1. TA can view job details before applying
2. TA can submit application
3. Application linked to TA profile
4. Confirmation shown after submission",5,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US011,Application Status View,"As a TA, I want to view my application status, so that I can track my job applications",High,2,"1. TA can see all their applications
2. Status shown (Pending/Accepted/Rejected)
3. Status updates in real-time",2,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US012,Applicant List View,"As an MO, I want to view all applicants for my job, so that I can evaluate them",High,2,"1. MO can see list of applicants
2. MO can view applicant profiles
3. MO can view resumes",3,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US013,Applicant Selection,"As an MO, I want to select an applicant, so that I can offer them the TA position",High,2,"1. MO can accept or reject applicants
2. TA notified of decision
3. Application status updated",3,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US014,Logout,"As a user, I want to log out, so that I can securely exit the system",Medium,1,"1. User can click logout
2. Session terminated
3. Redirected to login page",1,Phase 2 - Sprint 1,2025/3/23,2025/3/29
US015,Profile Editing,"As a TA, I want to edit my profile, so that I can keep my information up to date",Medium,2,"1. TA can modify profile details
2. Changes saved immediately
3. Resume can be updated",2,Phase 2 - Sprint 2,2025/3/30,2025/4/5
US016,AI Skill Matching,"As a TA, I want to receive AI-powered job recommendations, so that I can find the best matching positions",Medium,3,"1. System analyzes TA skills and job requirements
2. Match percentage displayed for each job
3. Top 5 recommended jobs shown",8,Phase 3 - Sprint 3,2025/4/13,2025/4/19
US017,AI Missing Skills Detection,"As a TA, I want to know which skills I lack for a job, so that I can improve my qualifications",Medium,3,"1. System identifies missing required skills
2. Suggestions for skill improvement provided
3. Learning resources recommended",5,Phase 3 - Sprint 3,2025/4/13,2025/4/19
US018,Admin Workload Statistics,"As an admin, I want to view workload statistics, so that I can monitor system usage",Low,3,"1. Number of active TAs displayed
2. Number of job postings shown
3. Application statistics available
4. Data exportable",5,Phase 3 - Sprint 3,2025/4/13,2025/4/19
US019,Job Posting Management,"As an MO, I want to manage my job postings, so that I can update or remove them",Medium,3,"1. MO can edit job details
2. MO can close/delete job postings
3. Affected applicants notified",3,Phase 3 - Sprint 4,2025/4/20,2025/4/26
US020,Email Notifications,"As a user, I want to receive email notifications, so that I stay informed about important updates",Low,3,"1. Application status changes trigger emails
2. New job postings notify matching TAs
3. Deadline reminders sent",3,Phase 3 - Sprint 4,2025/4/20,2025/4/26
US021,User Manual,"As a user, I want to access a user manual, so that I can learn how to use the system",Medium,3,"1. User manual available in system
2. Help sections for each feature
3. Searchable documentation",3,Phase 3 - Sprint 4,2025/4/20,2025/4/26
US022,Performance Optimization,"As a system admin, I want the system to perform optimally, so that users have a smooth experience",Low,4,"1. Page load time < 2 seconds
2. Database queries optimized
3. Caching implemented",5,Phase 3 - Sprint 4,2025/5/4,2025/5/10
